Title,Japanese,Type,Studios,Start_Aired,Source,Popularity,Score,Members,Favorites,Genres
Duel Masters Victory V3,デュエル・マスターズ ビクトリーV3,TV,Unknown,2013-04-06,Original,11727,5.831,1076,2,"Action, Adventure, Comedy, Fantasy"
Boku wa Ou-sama (TV),ぼくは王さま (2013),TV,Graphinica,2013-04-06,Picture book,15249,,354,0,Unknown
Mini Van,みにヴぁん,TV,DLE,2013-04-06,4-koma manga,10179,6.751,1943,3,Comedy
Tetsujin 28-gou Gao!,鉄人28号ガオ!,TV,Eiken,2013-04-06,Manga,14339,,446,0,Slice of Life
Bakujuu Gasshin Ziguru Hazeru,爆獣合神ジグルハゼル,TV,Production Reed,2013-04-06,Other,13848,,521,1,Action
Jewelpet Happiness,ジュエルペット ハッピネス,TV,Studio Comet,2013-04-06,Original,8674,6.941,3345,21,Fantasy
Dibetagurashi: Ahiru no Seikatsu,ぢべたぐらし あひるの生活,TV,Unknown,2013-04-07,Unknown,12122,5.721,933,1,"Comedy, Slice of Life"
Shingeki no Kyojin,進撃の巨人,TV,Wit Studio,2013-04-07,Manga,1,8.531,3524109,155695,"Action, Drama"
Ketsuekigata-kun!,血液型くん！,TV,"feel., Assez Finaud Fabric",2013-04-07,Web manga,5536,6.491,10714,13,Comedy
Suisei no Gargantia,翠星のガルガンティア,TV,Production I.G,2013-04-07,Original,623,7.461,317993,1200,"Action, Adventure, Sci-Fi"
Glass no Kamen Desu ga,ガラスの仮面ですが,TV,DLE,2013-04-07,Manga,11010,5.401,1416,0,Comedy
"Yondemasu yo, Azazel-san. Z",よんでますよ、アザゼルさん。Z,TV,Production I.G,2013-04-07,Manga,3270,7.541,35662,57,"Comedy, Supernatural"
Namiuchigiwa no Muromi-san,波打際のむろみさん,TV,Tatsunoko Production,2013-04-07,Manga,3071,6.931,39916,52,"Comedy, Fantasy, Slice of Life"
Battle Spirits: Sword Eyes Gekitouden,バトルスピリッツ ソードアイズ激闘伝,TV,Sunrise,2013-04-07,Card game,10477,6.661,1756,0,"Adventure, Fantasy"
Ore no Imouto ga Konnani Kawaii Wake ga Nai.,俺の妹がこんなに可愛いわけがない。,TV,A-1 Pictures,2013-04-07,Light novel,462,6.951,413025,1206,"Comedy, Romance"
Mushibugyou,ムシブギョー 蟲奉行,TV,Seven Arcs Pictures,2013-04-08,Manga,1999,7.311,85434,181,"Action, Fantasy, Ecchi"
Mazinger ZIP!,マジンガーZIP!,TV,Kate Arrow,2013-04-08,Unknown,11978,5.441,979,0,Comedy
Haiyore! Nyaruko-san W,這いよれ！ニャル子さん W,TV,Xebec,2013-04-08,Light novel,1184,7.231,171315,298,"Comedy, Sci-Fi"
Hayate no Gotoku! Cuties,ハヤテのごとく！ Cuties,TV,Manglobe,2013-04-09,Manga,2968,7.021,42581,47,"Comedy, Romance"
Arata Kangatari,アラタカンガタリ～革神語～,TV,Satelight,2013-04-09,Manga,2283,6.451,68191,61,"Adventure, Fantasy"
Sparrow's Hotel,スパロウズホテル,TV,Hotline,2013-04-09,4-koma manga,5751,5.451,9798,7,Comedy
Yuyushiki,ゆゆ式,TV,Kinema Citrus,2013-04-10,4-koma manga,1798,7.361,100519,600,"Comedy, Slice of Life"
Aiura,あいうら,TV,LIDENFILMS,2013-04-10,4-koma manga,2037,6.661,83042,168,"Comedy, Slice of Life"
Puchitto Gargantia,ぷちっとがるがんてぃあ,ONA,Studio PuYUKAI,2013-04-10,Unknown,5790,6.281,9626,0,Sci-Fi
Heisei Policemen!!,へ～せいポリスメン!!,ONA,Unknown,2013-04-11,Manga,15067,,370,1,Comedy
Toaru Kagaku no Railgun S,とある科学の超電磁砲S,TV,J.C.Staff,2013-04-12,Manga,537,8.031,360462,3649,"Action, Sci-Fi"
Hanakappa Movie: Hanasake! Pakkaan♪ Chou no Kuni no Daibouken,映画 はなかっぱ 花さけ！パッカ～ん♪蝶の国の大冒険,Movie,Unknown,2013-04-12,Picture book,15815,,310,0,Comedy
Kakumeiki Valvrave,革命機ヴァルヴレイヴ,TV,Sunrise,2013-04-12,Original,1257,7.141,159454,669,Action
"That's Hanakappa Musical: Pan to Gohan, Docchi nano!?",ザッツ・はなかっぱミュージカル パンとごはん、どっちなの!?,Movie,Unknown,2013-04-12,Unknown,17154,,222,0,Comedy
Suicide Ballad,スーサイド・バラッド,Music,Unknown,2013-04-12,Music,13819,6.361,526,2,"Drama, Supernatural"
Hentai Ouji to Warawanai Neko.,変態王子と笑わない猫。,TV,J.C.Staff,2013-04-13,Light novel,440,7.181,425997,1654,"Comedy, Romance, Supernatural"
Aura: Maryuuin Kouga Saigo no Tatakai,AURA～魔竜院光牙最後の闘い～,Movie,AIC ASTA,2013-04-13,Light novel,1906,7.361,91893,457,"Drama, Romance, Supernatural"
Many Mary,メニー・メアリー,Music,Unknown,2013-04-14,Unknown,14348,4.701,445,0,Unknown
Against,AGAINST,ONA,Unknown,2013-04-14,Original,13882,5.231,516,0,"Avant Garde, Fantasy"
Quails,うずら,Movie,Unknown,2013-04-15,Original,19836,,56,0,Avant Garde
Iron Man: Rise of Technovore,アイアンマン：ライズ・オブ・テクノヴォア,OVA,Madhouse,2013-04-16,Other,6359,6.171,7726,8,Action
Reunion (Music),「reunion」,Music,Unknown,2013-04-17,Unknown,9010,5.611,2951,1,Unknown
Nangoku Yubune,南国湯舟,Music,Unknown,2013-04-18,Original,19497,,74,0,Avant Garde
Kakushi Dere,かくしデレ,OVA,Peak Hunt,2013-04-19,Manga,5248,6.901,12344,42,Hentai
Ba La La Xiao Mo Xian: Qiji Wubu,巴啦啦小魔仙之奇迹舞步,TV,Unknown,2013-04-19,Original,12130,5.771,930,2,Comedy
"Boku no Imouto wa ""Osaka Okan"": Uchi no Oniichan wa Tokyo Rule",僕の妹は「大阪おかん」 うちのおにいちゃんは東京ルール,Special,Charaction,2013-04-19,Original,8412,5.791,3724,2,Comedy
